+++ BI Server - begin +++
Name, Description
SBA,BI Reporting Server
+++ BI Server - end +++

+++ BI Report - begin +++
Name,Server,Folder,Description
RACE_PROD,SBA,SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD,RACE_PROD[A56RQPC2.AY0001BS]
+++ BI Report - end +++

+++ BI Query - begin +++
Name,Report,Description
DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,_016_RAC_FACT_GENERAL
+++ BI Query - end +++

+++ BI Collection - begin +++
Name,Model,Description
_016_RAC_FACT_GENERAL,t016lasr<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Data/Memory/Team_SAS_VA_016 - Memory Library>,_016_RAC_FACT_GENERAL
+++ BI Collection - end +++

+++ BI Model - begin +++
Name,Report,Description
t016lasr,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,_016_RAC_FACT_GENERAL
+++ BI Model - end +++

+++ BI Query Member - begin +++
IM_ABS_CAP_T1_YTD, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,IM_ABS_CAP_T1_YTD,"Source: T016LASR._016_RAC_FACT_GENERAL"
DT_PERIODO_RIFERIMENTO, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,DT_PERIODO_RIFERIMENTO,"Source: T016LASR._016_RAC_FACT_GENERAL"
CO_STRUTTURA_L4, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,CO_STRUTTURA_L4,"Source: T016LASR._016_RAC_FACT_GENERAL"
DT_AGGIORNAMENTO, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,DT_AGGIORNAMENTO,"Source: T016LASR._016_RAC_FACT_GENERAL"
TIPO_DATO, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,TIPO_DATO,"Source: T016LASR._016_RAC_FACT_GENERAL"
NDG, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,NDG,"Source: T016LASR._016_RAC_FACT_GENERAL"
CO_STRUTTURA_L3, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,CO_STRUTTURA_L3,"Source: T016LASR._016_RAC_FACT_GENERAL"
CO_STRUTTURA, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,CO_STRUTTURA,"Source: T016LASR._016_RAC_FACT_GENERAL"
FLAG_SHADOW, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,FLAG_SHADOW,"Source: T016LASR._016_RAC_FACT_GENERAL"
CO_STRUTTURA_L5, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,CO_STRUTTURA_L5,"Source: T016LASR._016_RAC_FACT_GENERAL"
